n,epsilon,delta,beta,n_runs,kappa_init,k_init,h_common_silverman,gauss_clip_mult,order4_clip_mult,order4_eta_mult,order4_p_floor_multiplier,init_epsilon_frac,beta_dap,c_rho,dap_score_multiplier,R,gauss_h_used_mean,order4_h_used_mean,gauss_mse_mean,gauss_mse_sd,gauss_time_mean,gauss_time_sd,order4_mse_mean,order4_mse_sd,order4_time_mean,order4_time_sd,order4_floor_active_rate_mean
800,0.8,1e-06,4,20,5.0,34,1.054694321196491,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,1.0546943211964908,1.0546943211964908,0.24572015751633858,0.1550972901311289,0.004103145841509104,0.0001294155767976882,0.24548019456322404,0.10719253444198149,0.09299547283444554,0.001064432410477662,0.24138655462184877
1200,0.8,1e-06,4,20,5.0,36,0.963086794115073,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.9630867941150733,0.9630867941150733,0.2774295970862821,0.13820291725234157,0.005402189516462386,0.0001503032163747863,0.15348166117029524,0.07597733731479483,0.11454203112516552,0.0009294479784358937,0.20572916666666666
1500,0.8,1e-06,4,20,5.0,37,0.9321408714396765,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.9321408714396767,0.9321408714396767,0.23582365438347058,0.10845522281310639,0.005891466792672872,0.00012176260399356365,0.16096297928217962,0.0814100788772456,0.11808318761177361,0.0008071886904540114,0.15962837837837837
2500,0.8,1e-06,4,20,5.0,40,0.8628845256442248,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.8628845256442249,0.8628845256442249,0.14390196753757906,0.09277606657788424,0.007571362471207976,0.00010837752132153298,0.08656602126004127,0.03579355243562626,0.1309673875803128,0.0016059866611500778,0.10187499999999998
800,1.0,1e-06,4,20,5.0,34,1.054694321196491,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,1.0546943211964908,1.0546943211964908,0.26114331960938975,0.15238824293015635,0.004129060474224388,0.00010059590643506012,0.1584601808658318,0.09409238193334164,0.0938383124768734,0.0005262652197464112,0.21365546218487394
1200,1.0,1e-06,4,20,5.0,36,0.963086794115073,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.9630867941150733,0.9630867941150733,0.2546741354979783,0.1264391654646395,0.0054130936739966275,9.80904355241226e-05,0.12344837818576611,0.0660678714878975,0.11494452487677335,0.0005812129775860621,0.1652777777777778
1500,1.0,1e-06,4,20,5.0,37,0.9321408714396765,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.9321408714396767,0.9321408714396767,0.2362621781655335,0.12878005518409777,0.005904606403782963,0.00019062984007741098,0.12224174807327612,0.06079610461322828,0.1189618166303262,0.0006698113988189243,0.13023648648648647
2500,1.0,1e-06,4,20,5.0,40,0.8628845256442248,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.8628845256442249,0.8628845256442249,0.08579110962127247,0.034822774496917286,0.007533300039358437,0.00010294224354838832,0.06190056934150716,0.027516543750284814,0.13154420845676212,0.0009122354213671211,0.09437500000000001
800,1.2,1e-06,4,20,5.0,34,1.054694321196491,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,1.0546943211964908,1.0546943211964908,0.34937021607052576,0.21741767769978257,0.004079333366826176,0.0001287847291561928,0.1806860381960257,0.13895053126333048,0.09408511884976178,0.000425430159664196,0.18382352941176472
1200,1.2,1e-06,4,20,5.0,36,0.963086794115073,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.9630867941150733,0.9630867941150733,0.23890750668455177,0.12988833026511828,0.005428068689070642,0.0001234560885844023,0.13371664680828496,0.05957127551175856,0.11547911246307194,0.00079477479361984,0.1612847222222222
1500,1.2,1e-06,4,20,5.0,37,0.9321408714396765,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.9321408714396767,0.9321408714396767,0.16337258249962974,0.07896296116480248,0.005963691649958492,0.00018166909358977783,0.10349187523659993,0.04357174262927457,0.11920981681905687,0.0005977306050169188,0.12668918918918917
2500,1.2,1e-06,4,20,5.0,40,0.8628845256442248,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.8628845256442249,0.8628845256442249,0.07675980411425318,0.03015032146440634,0.008600504137575626,0.003829420572692403,0.06629750940560264,0.023921074631837323,0.1315899000968784,0.0005176560895330892,0.08890624999999999
800,1.5,1e-06,4,20,5.0,34,1.054694321196491,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,1.0546943211964908,1.0546943211964908,0.2587351827034298,0.1455756144713263,0.004113762709312141,0.00013018498665455963,0.15092951152188247,0.05703211447796615,0.09440143120009452,0.0005614082339144141,0.17962184873949585
1200,1.5,1e-06,4,20,5.0,36,0.963086794115073,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.9630867941150733,0.9630867941150733,0.15368259558593622,0.10511559514998649,0.00541433752514422,0.00010746398488720223,0.10162093917452844,0.06646447493196435,0.1154611415695399,0.0006805671893378899,0.1263888888888889
1500,1.5,1e-06,4,20,5.0,37,0.9321408714396765,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.9321408714396767,0.9321408714396767,0.14006410479338138,0.07822732212980656,0.005921133328229189,7.686468562944223e-05,0.08916926107882785,0.037618048762979556,0.11949273135978729,0.000489349683378465,0.1239864864864865
2500,1.5,1e-06,4,20,5.0,40,0.8628845256442248,1.0,1.0,1.0,1.0,0.1,3.0,2.0,3.0,None,0.8628845256442249,0.8628845256442249,0.058895056084826126,0.028170258289503935,0.007573060505092144,9.815761348431271e-05,0.06532081241040225,0.024895862191823926,0.13241483957972378,0.0022376395595214275,0.09812499999999999
