n_samples,epsilon,run_idx,seed,dp_mse_truth,dp_runtime_s,timestamp
300,0.1,0,300010,0.3338464418493945,0.034177249763160944,2026-04-30 20:35:07
300,0.1,1,300011,0.5220916122841358,0.048591666854918,2026-04-30 20:35:07
300,0.1,2,300012,0.5413858761239829,0.04047624999657273,2026-04-30 20:35:07
300,0.1,3,300013,0.23859142337862632,0.030904416926205158,2026-04-30 20:35:07
300,0.1,4,300014,0.3147250007843959,0.024861666839569807,2026-04-30 20:35:07
300,0.1,5,300015,0.42078624156702205,0.020597083028405905,2026-04-30 20:35:07
300,0.1,6,300016,0.2740392905912133,0.03361804177984595,2026-04-30 20:35:07
300,0.1,8,300018,0.29825190240346516,0.12078837491571903,2026-04-30 20:35:07
300,0.1,7,300017,0.440248480423106,0.14417695812880993,2026-04-30 20:35:07
300,0.1,9,300019,0.2769589123628645,0.05852954229339957,2026-04-30 20:35:07
300,0.1,11,300021,0.30355982629233846,0.04587020818144083,2026-04-30 20:35:07
300,0.1,12,300022,0.4082848319126535,0.0692933751270175,2026-04-30 20:35:07
300,0.1,14,300024,0.41110319502068066,0.04357245797291398,2026-04-30 20:35:07
300,0.1,13,300023,0.25770085021638445,0.04353712499141693,2026-04-30 20:35:07
300,0.1,10,300020,0.30359491806882616,0.08934695878997445,2026-04-30 20:35:07
300,0.1,15,300025,0.5390171950235012,0.029420416802167892,2026-04-30 20:35:07
300,0.1,17,300027,0.7233563908850589,0.028255334123969078,2026-04-30 20:35:07
300,0.1,16,300026,0.3131400521767897,0.041125334333628416,2026-04-30 20:35:07
300,0.1,18,300028,0.2846977821777933,0.034900416154414415,2026-04-30 20:35:07
300,0.1,19,300029,0.20880996469795324,0.03774666599929333,2026-04-30 20:35:07
300,0.2,0,300020,0.029504778022468744,0.02352591697126627,2026-04-30 20:35:10
300,0.2,1,300021,0.053582206267191214,0.03284312505275011,2026-04-30 20:35:10
300,0.2,2,300022,0.0306206428691984,0.02339754207059741,2026-04-30 20:35:10
300,0.2,5,300025,0.08653842467504667,0.020939209032803774,2026-04-30 20:35:10
300,0.2,3,300023,0.12757092667775558,0.04007545905187726,2026-04-30 20:35:10
300,0.2,4,300024,0.043920993092356246,0.026493291836231947,2026-04-30 20:35:10
300,0.2,6,300026,0.02648403876577597,0.015292333904653788,2026-04-30 20:35:10
300,0.2,8,300028,0.07719312855418778,0.029535874724388123,2026-04-30 20:35:10
300,0.2,7,300027,0.1586743334151131,0.03781912522390485,2026-04-30 20:35:10
300,0.2,9,300029,0.04054844573205704,0.03938345890492201,2026-04-30 20:35:10
300,0.2,10,300030,0.08101563293756013,0.041419416200369596,2026-04-30 20:35:10
300,0.2,12,300032,0.06821541746918233,0.03326391614973545,2026-04-30 20:35:10
300,0.2,14,300034,0.07212457953014442,0.033610792364925146,2026-04-30 20:35:10
300,0.2,11,300031,0.06118571821068347,0.04505937499925494,2026-04-30 20:35:10
300,0.2,13,300033,0.0578569742847808,0.03669041721150279,2026-04-30 20:35:10
300,0.2,16,300036,0.05578809039304977,0.03309633303433657,2026-04-30 20:35:10
300,0.2,15,300035,0.31691172923690514,0.0376421669498086,2026-04-30 20:35:10
300,0.2,17,300037,0.07913164119547071,0.027270665857940912,2026-04-30 20:35:10
300,0.2,18,300038,0.09198717780736355,0.022520124912261963,2026-04-30 20:35:10
300,0.2,19,300039,0.028892624705374848,0.020902832970023155,2026-04-30 20:35:10
300,0.5,0,300050,0.004294189629613954,0.031506292056292295,2026-04-30 20:35:13
300,0.5,1,300051,0.0050728357099477745,0.03097045933827758,2026-04-30 20:35:13
300,0.5,2,300052,0.010002299791315823,0.02114033279940486,2026-04-30 20:35:13
300,0.5,3,300053,0.012384174810906175,0.026790750212967396,2026-04-30 20:35:13
300,0.5,4,300054,0.004940888831807413,0.025428499560803175,2026-04-30 20:35:13
300,0.5,5,300055,0.0036657397675488885,0.031485207844525576,2026-04-30 20:35:13
300,0.5,7,300057,0.006146613820575119,0.02956820884719491,2026-04-30 20:35:13
300,0.5,8,300058,0.005310901504120871,0.02146629197522998,2026-04-30 20:35:13
300,0.5,6,300056,0.003512006641917415,0.04898008285090327,2026-04-30 20:35:13
300,0.5,12,300062,0.013899781086113951,0.024377916008234024,2026-04-30 20:35:13
300,0.5,10,300060,0.005889104928179228,0.02993454085662961,2026-04-30 20:35:13
300,0.5,9,300059,0.013200380551096394,0.03548995824530721,2026-04-30 20:35:13
