n_samples,epsilon,run_idx,data_seed,dp_seed,dp_mse,dp_runtime_s,timestamp
200,0.1,0,70001000,90001000,0.5230062029750217,0.02427545888349414,2026-04-30 20:33:20
200,0.1,1,70001001,90001001,0.9377016018465515,0.019300958141684532,2026-04-30 20:33:20
200,0.1,2,70001002,90001002,0.95715347195414,0.03378845890983939,2026-04-30 20:33:20
200,0.1,6,70001006,90001006,0.9336448275443571,0.02851233258843422,2026-04-30 20:33:20
200,0.1,7,70001007,90001007,0.6706022160744425,0.03136904165148735,2026-04-30 20:33:20
200,0.1,5,70001005,90001005,0.4471457777281391,0.034065499901771545,2026-04-30 20:33:20
200,0.1,3,70001003,90001003,0.5286795400987916,0.044587958604097366,2026-04-30 20:33:20
200,0.1,4,70001004,90001004,0.2667281327970727,0.0325349997729063,2026-04-30 20:33:20
200,0.1,9,70001009,90001009,0.325088041177114,0.01888708397746086,2026-04-30 20:33:20
200,0.1,10,70001010,90001010,0.34971687092790155,0.022919666953384876,2026-04-30 20:33:20
200,0.1,8,70001008,90001008,1.276820797847327,0.029642667155712843,2026-04-30 20:33:20
200,0.1,13,70001013,90001013,0.3552721183091033,0.013981333002448082,2026-04-30 20:33:20
200,0.1,15,70001015,90001015,0.2524776788004316,0.019879458006471395,2026-04-30 20:33:20
200,0.1,11,70001011,90001011,0.5129765338687166,0.01816995907574892,2026-04-30 20:33:20
200,0.1,12,70001012,90001012,1.0248510356808247,0.025904708076268435,2026-04-30 20:33:20
200,0.1,14,70001014,90001014,0.300855265638839,0.02038470795378089,2026-04-30 20:33:20
200,0.1,16,70001016,90001016,0.8845994146670255,0.01723991660401225,2026-04-30 20:33:20
200,0.1,18,70001018,90001018,0.41926128850380445,0.014301083981990814,2026-04-30 20:33:20
200,0.1,17,70001017,90001017,0.5509208959956094,0.013956999871879816,2026-04-30 20:33:20
200,0.1,19,70001019,90001019,0.7940393975617062,0.014015040826052427,2026-04-30 20:33:20
200,0.2,0,70002000,90002000,0.18525162823524643,0.03500770824030042,2026-04-30 20:33:22
200,0.2,1,70002001,90002001,0.17736670397530185,0.0413765418343246,2026-04-30 20:33:22
200,0.2,2,70002002,90002002,0.12755505266431238,0.03459475003182888,2026-04-30 20:33:22
200,0.2,3,70002003,90002003,0.12415174310592389,0.03901025000959635,2026-04-30 20:33:22
200,0.2,4,70002004,90002004,0.12563774930074978,0.03417675010859966,2026-04-30 20:33:22
200,0.2,5,70002005,90002005,0.16503653056000872,0.0571962920948863,2026-04-30 20:33:23
200,0.2,6,70002006,90002006,0.15311415750771332,0.041596374940127134,2026-04-30 20:33:23
200,0.2,7,70002007,90002007,0.1790324384256666,0.024558499921113253,2026-04-30 20:33:23
200,0.2,10,70002010,90002010,0.1517167704788588,0.016730083152651787,2026-04-30 20:33:23
200,0.2,9,70002009,90002009,0.1778883267140163,0.03163966629654169,2026-04-30 20:33:23
200,0.2,8,70002008,90002008,0.17084899849170188,0.022012167144566774,2026-04-30 20:33:23
200,0.2,11,70002011,90002011,0.2515025893606748,0.01845658291131258,2026-04-30 20:33:23
200,0.2,12,70002012,90002012,0.14189191078085664,0.020947332959622145,2026-04-30 20:33:23
200,0.2,13,70002013,90002013,0.19920610483452847,0.0201770830899477,2026-04-30 20:33:23
200,0.2,14,70002014,90002014,0.14410020777843938,0.018797040916979313,2026-04-30 20:33:23
200,0.2,15,70002015,90002015,0.14450687349687472,0.021094916854053736,2026-04-30 20:33:23
200,0.2,16,70002016,90002016,0.2907178015752733,0.02054604236036539,2026-04-30 20:33:23
200,0.2,18,70002018,90002018,0.14022696198472295,0.024339917115867138,2026-04-30 20:33:23
200,0.2,17,70002017,90002017,0.32803932426182647,0.023972874972969294,2026-04-30 20:33:23
200,0.2,19,70002019,90002019,0.2971482867062189,0.018303791992366314,2026-04-30 20:33:23
200,0.5,0,70005000,90005000,0.05357888966795198,0.02481329208239913,2026-04-30 20:33:25
200,0.5,1,70005001,90005001,0.10702379914900487,0.017783166840672493,2026-04-30 20:33:25
200,0.5,3,70005003,90005003,0.06436734295486723,0.025936416815966368,2026-04-30 20:33:25
200,0.5,2,70005002,90005002,0.08278619311370158,0.0278055421076715,2026-04-30 20:33:25
200,0.5,4,70005004,90005004,0.07143977849212828,0.014686749782413244,2026-04-30 20:33:25
200,0.5,5,70005005,90005005,0.054034110292063973,0.01911191688850522,2026-04-30 20:33:25
200,0.5,6,70005006,90005006,0.05540964269430112,0.01489320769906044,2026-04-30 20:33:25
200,0.5,7,70005007,90005007,0.07708179468093218,0.01867887517437339,2026-04-30 20:33:25
200,0.5,9,70005009,90005009,0.0483910251137892,0.015791208017617464,2026-04-30 20:33:25
200,0.5,12,70005012,90005012,0.052456390087262286,0.01807491621002555,2026-04-30 20:33:25
200,0.5,10,70005010,90005010,0.06730261763469422,0.021078416611999273,2026-04-30 20:33:25
200,0.5,8,70005008,90005008,0.07031562598563011,0.02654204098507762,2026-04-30 20:33:25
200,0.5,11,70005011,90005011,0.06851044205269874,0.025531833991408348,2026-04-30 20:33:25
200,0.5,13,70005013,90005013,0.05671516602245473,0.03057833295315504,2026-04-30 20:33:25
200,0.5,17,70005017,90005017,0.03830918129916626,0.014669625088572502,2026-04-30 20:33:25
200,0.5,14,70005014,90005014,0.047965785695815326,0.02428308315575123,2026-04-30 20:33:25
200,0.5,15,70005015,90005015,0.0631029308973899,0.02178175002336502,2026-04-30 20:33:25
200,0.5,19,70005019,90005019,0.0979968852007073,0.01745545817539096,2026-04-30 20:33:25
200,0.5,16,70005016,90005016,0.09452709828561434,0.018955667037516832,2026-04-30 20:33:25
200,0.5,18,70005018,90005018,0.10588043940516645,0.014581374824047089,2026-04-30 20:33:25
200,1.0,0,70010000,90010000,0.06009608230242357,0.03193650022149086,2026-04-30 20:33:27
200,1.0,1,70010001,90010001,0.036762007784213846,0.02883341582491994,2026-04-30 20:33:27
200,1.0,2,70010002,90010002,0.04265655834636545,0.02459162473678589,2026-04-30 20:33:28
200,1.0,3,70010003,90010003,0.07205234016682623,0.01857958408072591,2026-04-30 20:33:28
200,1.0,4,70010004,90010004,0.0439196931162306,0.013842958956956863,2026-04-30 20:33:28
200,1.0,5,70010005,90010005,0.06216704591916412,0.014493000227957964,2026-04-30 20:33:28
200,1.0,8,70010008,90010008,0.08931155878192744,0.014538458082824945,2026-04-30 20:33:28
200,1.0,7,70010007,90010007,0.04447862729398753,0.022788584232330322,2026-04-30 20:33:28
200,1.0,10,70010010,90010010,0.0598619961127792,0.020801250357180834,2026-04-30 20:33:28
200,1.0,6,70010006,90010006,0.058158924629669984,0.03377004200592637,2026-04-30 20:33:28
200,1.0,9,70010009,90010009,0.04930573070395224,0.016962916124612093,2026-04-30 20:33:28
200,1.0,11,70010011,90010011,0.06732917759129917,0.020442249719053507,2026-04-30 20:33:28
200,1.0,14,70010014,90010014,0.05336999160247138,0.015401666983962059,2026-04-30 20:33:28
200,1.0,12,70010012,90010012,0.0846208794608759,0.029204375110566616,2026-04-30 20:33:28
200,1.0,16,70010016,90010016,0.042060575715099725,0.020754291210323572,2026-04-30 20:33:28
200,1.0,13,70010013,90010013,0.06374585512707193,0.022901291958987713,2026-04-30 20:33:28
200,1.0,15,70010015,90010015,0.07369461772037951,0.016464874614030123,2026-04-30 20:33:28
200,1.0,18,70010018,90010018,0.056292145524352535,0.016446208115667105,2026-04-30 20:33:28
200,1.0,17,70010017,90010017,0.04604148245670688,0.022778125014156103,2026-04-30 20:33:28
200,1.0,19,70010019,90010019,0.0627894345854663,0.013560208026319742,2026-04-30 20:33:28
500,0.1,0,100001000,120001000,0.1668013785477481,0.03771058330312371,2026-04-30 20:33:30
500,0.1,1,100001001,120001001,0.14135694357087544,0.029134916607290506,2026-04-30 20:33:30
500,0.1,2,100001002,120001002,0.1279847733934805,0.038279457949101925,2026-04-30 20:33:30
500,0.1,4,100001004,120001004,0.20648885122360738,0.024322499986737967,2026-04-30 20:33:30
500,0.1,3,100001003,120001003,0.23227701968024927,0.03816995909437537,2026-04-30 20:33:30
500,0.1,5,100001005,120001005,0.17607813030650185,0.02237700019031763,2026-04-30 20:33:30
500,0.1,6,100001006,120001006,0.16227095408986753,0.027522540651261806,2026-04-30 20:33:30
500,0.1,9,100001009,120001009,0.16659527789761117,0.02678416622802615,2026-04-30 20:33:30
500,0.1,7,100001007,120001007,0.2194148327685122,0.04631558386608958,2026-04-30 20:33:30
500,0.1,8,100001008,120001008,0.16480185730346095,0.02943579200655222,2026-04-30 20:33:30
500,0.1,10,100001010,120001010,0.13782875221548482,0.03326724981889129,2026-04-30 20:33:30
500,0.1,12,100001012,120001012,0.13121142048465217,0.034541542176157236,2026-04-30 20:33:30
500,0.1,11,100001011,120001011,0.17865224258158718,0.03659287514165044,2026-04-30 20:33:30
500,0.1,16,100001016,120001016,0.18982085786170907,0.026270915754139423,2026-04-30 20:33:30
500,0.1,15,100001015,120001015,0.13797996475946755,0.035267166793346405,2026-04-30 20:33:30
500,0.1,13,100001013,120001013,0.18752998750498567,0.04585220804437995,2026-04-30 20:33:30
500,0.1,14,100001014,120001014,0.1593803315788615,0.03827183414250612,2026-04-30 20:33:30
500,0.1,17,100001017,120001017,0.14550492151769834,0.021042624954134226,2026-04-30 20:33:30
500,0.1,18,100001018,120001018,0.18610919950988364,0.022477666847407818,2026-04-30 20:33:30
500,0.1,19,100001019,120001019,0.19445604500541253,0.020169999916106462,2026-04-30 20:33:30
500,0.2,0,100002000,120002000,0.09523069731139504,0.04151412472128868,2026-04-30 20:33:32
500,0.2,1,100002001,120002001,0.10773444698613117,0.047016166150569916,2026-04-30 20:33:33
500,0.2,2,100002002,120002002,0.05161800274457627,0.03363954182714224,2026-04-30 20:33:33
500,0.2,4,100002004,120002004,0.04910358906740969,0.044386875350028276,2026-04-30 20:33:33
500,0.2,3,100002003,120002003,0.05004347438010311,0.05147987511008978,2026-04-30 20:33:33
500,0.2,5,100002005,120002005,0.07705588015092407,0.045204125344753265,2026-04-30 20:33:33
500,0.2,6,100002006,120002006,0.0637521480828823,0.04005533317103982,2026-04-30 20:33:33
500,0.2,7,100002007,120002007,0.11066451239137678,0.03615779196843505,2026-04-30 20:33:33
500,0.2,8,100002008,120002008,0.054255630348649185,0.03789350017905235,2026-04-30 20:33:33
500,0.2,10,100002010,120002010,0.051643379121604306,0.03428750019520521,2026-04-30 20:33:33
500,0.2,11,100002011,120002011,0.07157617157629872,0.023642208892852068,2026-04-30 20:33:33
500,0.2,9,100002009,120002009,0.10266110051062223,0.03627091692760587,2026-04-30 20:33:33
500,0.2,12,100002012,120002012,0.06718706609907145,0.03900512494146824,2026-04-30 20:33:33
500,0.2,14,100002014,120002014,0.07637436885231495,0.02483395766466856,2026-04-30 20:33:33
500,0.2,13,100002013,120002013,0.05465868537158338,0.030196665786206722,2026-04-30 20:33:33
500,0.2,15,100002015,120002015,0.0946446519350289,0.031342875212430954,2026-04-30 20:33:33
500,0.2,16,100002016,120002016,0.11186209806071759,0.03172237519174814,2026-04-30 20:33:33
500,0.2,17,100002017,120002017,0.04190009915461719,0.0278953337110579,2026-04-30 20:33:33
500,0.2,18,100002018,120002018,0.08654372575821218,0.026272624731063843,2026-04-30 20:33:33
500,0.2,19,100002019,120002019,0.06156914244967701,0.022564999759197235,2026-04-30 20:33:33
500,0.5,0,100005000,120005000,0.030105185859085414,0.03963937517255545,2026-04-30 20:33:36
500,0.5,1,100005001,120005001,0.038066700994076004,0.02858024975284934,2026-04-30 20:33:36
500,0.5,4,100005004,120005004,0.030093074701138485,0.03405295871198177,2026-04-30 20:33:36
500,0.5,2,100005002,120005002,0.032260040149214554,0.024232625029981136,2026-04-30 20:33:36
500,0.5,3,100005003,120005003,0.03957709848305352,0.036155625246465206,2026-04-30 20:33:36
500,0.5,5,100005005,120005005,0.03492183975622609,0.03431941708549857,2026-04-30 20:33:36
500,0.5,6,100005006,120005006,0.032564252602552135,0.0353585840202868,2026-04-30 20:33:36
500,0.5,7,100005007,120005007,0.03841148748123021,0.03814779222011566,2026-04-30 20:33:36
500,0.5,9,100005009,120005009,0.037480405570849175,0.021594292018562555,2026-04-30 20:33:36
500,0.5,8,100005008,120005008,0.04540636532286749,0.03741262527182698,2026-04-30 20:33:36
