n_samples,epsilon,run_idx,data_seed,dp_seed,pms_mse,pms_runtime_s,dp_mse,dp_runtime_s,timestamp
200,0.1,0,70001000,90001000,0.03022889043501065,0.010683625005185604,0.5230062029750217,0.02427545888349414,2026-04-30 20:33:20
200,0.1,1,70001001,90001001,0.02503476813934515,0.017613042145967484,0.9377016018465515,0.019300958141684532,2026-04-30 20:33:20
200,0.1,2,70001002,90001002,0.025873298697099978,0.00982733303681016,0.95715347195414,0.03378845890983939,2026-04-30 20:33:20
200,0.1,6,70001006,90001006,0.026702154095190993,0.017936083022505045,0.9336448275443571,0.02851233258843422,2026-04-30 20:33:20
200,0.1,7,70001007,90001007,0.0318864498792379,0.013013542164117098,0.6706022160744425,0.03136904165148735,2026-04-30 20:33:20
200,0.1,5,70001005,90001005,0.02729702031217862,0.02193483291193843,0.4471457777281391,0.034065499901771545,2026-04-30 20:33:20
200,0.1,3,70001003,90001003,0.02807946810035416,0.016726958099752665,0.5286795400987916,0.044587958604097366,2026-04-30 20:33:20
200,0.1,4,70001004,90001004,0.041482004385276966,0.027057125233113766,0.2667281327970727,0.0325349997729063,2026-04-30 20:33:20
200,0.1,9,70001009,90001009,0.036906471268859174,0.025323416106402874,0.325088041177114,0.01888708397746086,2026-04-30 20:33:20
200,0.1,10,70001010,90001010,0.02896960176451173,0.017743832897394896,0.34971687092790155,0.022919666953384876,2026-04-30 20:33:20
200,0.1,8,70001008,90001008,0.024512115671893323,0.029612000100314617,1.276820797847327,0.029642667155712843,2026-04-30 20:33:20
200,0.1,13,70001013,90001013,0.029670976305185545,0.017141208052635193,0.3552721183091033,0.013981333002448082,2026-04-30 20:33:20
200,0.1,15,70001015,90001015,0.043652997285244244,0.008575624786317348,0.2524776788004316,0.019879458006471395,2026-04-30 20:33:20
200,0.1,11,70001011,90001011,0.020616610191022317,0.020806207787245512,0.5129765338687166,0.01816995907574892,2026-04-30 20:33:20
200,0.1,12,70001012,90001012,0.031103647957873983,0.014120250009000301,1.0248510356808247,0.025904708076268435,2026-04-30 20:33:20
200,0.1,14,70001014,90001014,0.025795310930574494,0.014272292144596577,0.300855265638839,0.02038470795378089,2026-04-30 20:33:20
200,0.1,16,70001016,90001016,0.03831449144207908,0.014232291374355555,0.8845994146670255,0.01723991660401225,2026-04-30 20:33:20
200,0.1,18,70001018,90001018,0.037165470101152676,0.01456512464210391,0.41926128850380445,0.014301083981990814,2026-04-30 20:33:20
200,0.1,17,70001017,90001017,0.03574135369870428,0.01667308295145631,0.5509208959956094,0.013956999871879816,2026-04-30 20:33:20
200,0.1,19,70001019,90001019,0.036662858667268726,0.011290707625448704,0.7940393975617062,0.014015040826052427,2026-04-30 20:33:20
200,0.2,0,70002000,90002000,0.019442608942541857,0.024134125094860792,0.18525162823524643,0.03500770824030042,2026-04-30 20:33:22
200,0.2,1,70002001,90002001,0.023442285488457223,0.01942550018429756,0.17736670397530185,0.0413765418343246,2026-04-30 20:33:22
200,0.2,2,70002002,90002002,0.027735528229116707,0.02004729164764285,0.12755505266431238,0.03459475003182888,2026-04-30 20:33:22
200,0.2,3,70002003,90002003,0.03490156744646575,0.012132166884839535,0.12415174310592389,0.03901025000959635,2026-04-30 20:33:22
200,0.2,4,70002004,90002004,0.03241553248145006,0.024658500216901302,0.12563774930074978,0.03417675010859966,2026-04-30 20:33:22
200,0.2,5,70002005,90002005,0.04059251972740288,0.014757583383470774,0.16503653056000872,0.0571962920948863,2026-04-30 20:33:23
200,0.2,6,70002006,90002006,0.030500433486001816,0.028263207990676165,0.15311415750771332,0.041596374940127134,2026-04-30 20:33:23
200,0.2,7,70002007,90002007,0.02385567600216902,0.020507624838501215,0.1790324384256666,0.024558499921113253,2026-04-30 20:33:23
200,0.2,10,70002010,90002010,0.03674370209422091,0.008694667369127274,0.1517167704788588,0.016730083152651787,2026-04-30 20:33:23
200,0.2,9,70002009,90002009,0.033011845390433156,0.008826666977256536,0.1778883267140163,0.03163966629654169,2026-04-30 20:33:23
200,0.2,8,70002008,90002008,0.030298720390117988,0.028330999892205,0.17084899849170188,0.022012167144566774,2026-04-30 20:33:23
200,0.2,11,70002011,90002011,0.043779611410539536,0.023289000149816275,0.2515025893606748,0.01845658291131258,2026-04-30 20:33:23
